"site","coeff_FS","r_sqr_FS","coeff_FR","r_sqr_FR","coeff_PS","r_sqr_PS","coeff_PR","r_sqr_PR"
"Cape_mark_HIRMD",1.26894356005789,0.960980301407327,1.34213824485374,0.855940282068205,0.20230773553996,0.959295120053398,0.207952678891298,0.928935578545634
"Edna",0.62421052631579,0.868585526122818,1.34213824485374,0.855940282068205,0.143427264200723,0.948706832202539,0.207952678891298,0.928935578545634
"Golden",1.63589900535578,0.931904842109141,1.34213824485374,0.855940282068205,0.225427652737688,0.964296066284351,0.207952678891298,0.928935578545634
"Goose_HIRMD",1.29696260261478,0.941327879060092,1.34213824485374,0.855940282068205,0.283151342520894,0.958824320559853,0.207952678891298,0.928935578545634
"Ivory_HIRMD",1.17327683615819,0.89495316709986,1.34213824485374,0.855940282068205,0.26732654523055,0.928955861253832,0.207952678891298,0.928935578545634
"McMullins_center",1.12246246246246,0.896459194711976,1.34213824485374,0.855940282068205,0.226607497197733,0.945072176805839,0.207952678891298,0.928935578545634
"McMullins_HIRMD",1.9002688172043,0.897944611897972,1.34213824485374,0.855940282068205,0.236214254873549,0.99092551313655,0.207952678891298,0.928935578545634
"McMullins_north_HIRMD",1.44928457869634,0.80707981273581,1.34213824485374,0.855940282068205,0.210339547986796,0.871188867390854,0.207952678891298,0.928935578545634
"Meay",1.65783124588003,0.820004985566881,1.34213824485374,0.855940282068205,0.229484386588819,0.933662993374404,0.207952678891298,0.928935578545634
"Simmonds",1.36650415721844,0.812623469000657,1.34213824485374,0.855940282068205,0.21679227172349,0.934426870410949,0.207952678891298,0.928935578545634
"Simmonds_HIRMD",1.38783921735432,0.883606910160484,1.34213824485374,0.855940282068205,0.168078784013213,0.96863040946758,0.207952678891298,0.928935578545634
"Spider_HIRMD",1.36563915857605,0.875370452918,1.34213824485374,0.855940282068205,0.184391423119937,0.967817742285864,0.207952678891298,0.928935578545634
"Stryker",1.28003554923569,0.935165273116948,1.34213824485374,0.855940282068205,0.194411744830317,0.955528333054324,0.207952678891298,0.928935578545634
"Stryker_HIRMD",1.67667712045617,0.915190124053533,1.34213824485374,0.855940282068205,0.193684087814512,0.933151996078714,0.207952678891298,0.928935578545634
"Triqster",1.277,0.830121225429412,1.34213824485374,0.855940282068205,0.242105071914697,0.98240622687862,0.207952678891298,0.928935578545634
"Triquet",1.04029092983457,0.806193802085404,1.34213824485374,0.855940282068205,0.20376690095791,0.919672101736479,0.207952678891298,0.928935578545634
"Triquet_beach",0.725487804878049,0.891228795523856,1.34213824485374,0.855940282068205,0.162204820116561,0.976666168878647,0.207952678891298,0.928935578545634
"Westbeach",1.164794181368,0.902021340887581,1.34213824485374,0.855940282068205,0.213067559526872,0.949332938818006,0.207952678891298,0.928935578545634
"Westbeach_north",0.568127208480565,0.918740653066512,1.34213824485374,0.855940282068205,0.150296741216444,0.934229033385427,0.207952678891298,0.928935578545634
"Womanley",1.20143107476635,0.853442355642465,1.34213824485374,0.855940282068205,0.206828499788318,0.896520558221392,0.207952678891298,0.928935578545634
