Table,Variable Name,Class and Units,Description
macro_density,period,yyyy-mm,sampling date in year-month format.
macro_density,date,yyyy-mm-dd,sampling date in year-month-day format.
macro_density,site,categorical,name of sampling site
macro_density,diver,categorical,initials of person(s) who collected data.
macro_density,transect,"categorical, numeric range",refers to 1 of 3 permanent transect lines at a particular site (exception to Aug 2018 where additional lines were created in between permanent ones)
macro_density,side,categorical,refers to right or left side of transect when divers look towards the 20m end.
macro_density,transect_length,"numerical, m",refers to the total length surveyed 1m on either side of the transect
macro_density,distance,"numerical, m",distance of the plant holdfast along the transect line starting at 0 (exception to Aug 2018 where a binned distance was sometimes recorded 2_6 or 2m to 6m)
macro_density,depth,"numerical, m",fixed depth associated with site (2016-2018). Actual holdfast depth at time of survey was recorded prior to 2016.
macro_density,fixed_depth,"numerical, m",refers to the mean mean water site depth pre-established prior to conducting the survey
macro_density,time,hh:mm,recorded in 24 hour time
macro_density,fronds_1m,"numerical, m","number of fronds at 1m above the holdfast of a particular plant, should be recorded for all plants. Prior to 2016, kelps less than 1m tall were recorded as 0."
macro_density,C_P_T,categorical,"cut, partial, or tangled plants. Enter NA when nothing has been recorded in this column. Note that only one identifier should be included for each kelp (e.g. Cť not C/Pť)."
macro_density,comment1,character,any notes recorded by divers or data processors.
macro_density,comment2,character,additional notes recorded by divers or data processors.
macro_metrics,Interval,"categorical, numeric range",numerical series where each integer corresponds to a sampling period starting from site establishment to present time
macro_metrics,Month_Yr,mmm-yyyy,month and year identifier corresponding to time interval
macro_metrics,Site,categorical,name of sampling site
macro_metrics,Date,yyyy-mm-dd,sampling date in year-month-day format.
macro_metrics,Diver,categorical,initials of person(s) who collected data.
macro_metrics,Transect,"categorical, numeric range",refers to 1 of 3 permanent transect lines at a particular site (exception to Aug 2018 where additional lines were created in between permanent ones)
macro_metrics,Transect_length,"numerical, m",refers to the total length surveyed 1m on either side of the transect
macro_metrics,Side,categorical,refers to right or left side of transect when divers look towards the 20m end.
macro_metrics,Distance,"numerical, m",distance of the plant holdfast along the transect line starting at 0 (exception to Aug 2018 where a binned distance was sometimes recorded 2_6 or 2m to 6m)
macro_metrics,Fixed_depth,"numerical, m",refers to the mean mean water site depth pre-established prior to conducting the survey
macro_metrics,Depth,"numerical, m",fixed depth associated with site (2016-2018). Actual holdfast depth at time of survey was recorded prior to 2016.
macro_metrics,Time,hh:mm,recorded in 24 hour time
macro_metrics,Tag,"categorical, numeric range","tag number, included only in instances where a plant is tagged for frond or plant loss. If the kelp is not tagged, enter NA. "
macro_metrics,C_P_T,categorical,"cut, partial, or tangled plants. Enter NA when nothing has been recorded in this column. Note that only one identifier should be included for each kelp (e.g. Cť not C/Pť)."
macro_metrics,Frond_1m,"numerical, m","number of fronds at 1m above the holdfast of a particular plant, should be recorded for all plants. Prior to 2016, kelps less than 1m tall were recorded as 0."
macro_metrics,Fronds_SFC,"numerical, m","number of fronds that reach the surface for a particular plant. This should be recorded as 0 when there are no fronds reaching the surface, but left blank for tangled and partial plants (unless diver has provided an estimate)."
